from_date,to_date,public_health_unit,age_group,total_cases,total_deaths,total_hospitalizations_count,percent_cases,percent_deaths,percent_hospitalizations,population_2022,individuals_2022,cases_per_100k,deaths_per_100k,hospitalizations_per_100k
"January 15, 2020","March 2, 2022",Algoma,0 to 4,181,0,9,0.03433232169954476,0,0.043689320388349516,117840,5481,3302,0,164
"January 15, 2020","March 2, 2022",Algoma,12 to 19,412,0,5,0.07814871016691957,0,0.024271844660194174,117840,9230,4464,0,54
"January 15, 2020","March 2, 2022",Algoma,20 to 39,1868,1,31,0.3543247344461305,0.030303030303030304,0.15048543689320387,117840,24676,7570,4,126
"January 15, 2020","March 2, 2022",Algoma,40 to 59,1424,5,48,0.2701062215477997,0.15151515151515152,0.23300970873786409,117840,33111,4301,15,145
"January 15, 2020","March 2, 2022",Algoma,5 to 11,379,0,0,0.07188922610015175,0,0,117840,7751,4890,0,0
"January 15, 2020","March 2, 2022",Algoma,60 to 79,705,14,69,0.13372534142640363,0.42424242424242425,0.33495145631067963,117840,30241,2331,46,228
"January 15, 2020","March 2, 2022",Algoma,80+,303,13,44,0.057473444613050075,0.3939393939393939,0.21359223300970873,117840,7362,4116,177,598
"January 15, 2020","March 2, 2022",Brant County,0 to 4,386,0,10,0.038978087448248,0,0.02710027100271003,153558,8614,4481,0,116
"January 15, 2020","March 2, 2022",Brant County,12 to 19,964,0,2,0.09734423911945875,0,0.005420054200542005,153558,14834,6499,0,13
"January 15, 2020","March 2, 2022",Brant County,20 to 39,3487,2,35,0.3521155205493285,0.02631578947368421,0.0948509485094851,153558,36909,9448,5,95
"January 15, 2020","March 2, 2022",Brant County,40 to 59,2749,7,80,0.2775926486923155,0.09210526315789473,0.21680216802168023,153558,42758,6429,16,187
"January 15, 2020","March 2, 2022",Brant County,5 to 11,698,0,2,0.07048369181056245,0,0.005420054200542005,153558,12983,5376,0,15
"January 15, 2020","March 2, 2022",Brant County,60 to 79,1207,28,139,0.12188225790164596,0.3684210526315789,0.37669376693766937,153558,30212,3995,93,460
"January 15, 2020","March 2, 2022",Brant County,80+,412,39,101,0.04160355447844088,0.5131578947368421,0.27371273712737126,153558,7249,5684,538,1393
"January 15, 2020","March 2, 2022",Durham Region,0 to 4,1836,0,36,0.03446722234737554,0,0.021712907117008445,711426,39319,4669,0,92
"January 15, 2020","March 2, 2022",Durham Region,12 to 19,4750,0,16,0.08917173537583539,0,0.009650180940892641,711426,74138,6407,0,22
"January 15, 2020","March 2, 2022",Durham Region,20 to 39,19644,5,173,0.36877675152061273,0.011286681715575621,0.10434258142340169,711426,178297,11018,3,97
"January 15, 2020","March 2, 2022",Durham Region,40 to 59,15678,26,410,0.2943230457310205,0.05869074492099323,0.24728588661037396,711426,213815,7333,12,192
"January 15, 2020","March 2, 2022",Durham Region,5 to 11,3524,0,7,0.06615604115040925,0,0.004221954161640531,711426,61854,5697,0,11
"January 15, 2020","March 2, 2022",Durham Region,60 to 79,5904,151,644,0.1108357738229331,0.34085778781038373,0.3884197828709288,711426,118446,4985,127,544
"January 15, 2020","March 2, 2022",Durham Region,80+,1932,261,372,0.03626943005181347,0.5891647855530474,0.2243667068757539,711426,25550,7562,1022,1456
"January 15, 2020","March 2, 2022",Grey Bruce,0 to 4,210,0,7,0.03324889170360988,0,0.03153153153153153,176150,9037,2324,0,77
"January 15, 2020","March 2, 2022",Grey Bruce,12 to 19,677,0,2,0.10718809373020899,0,0.009009009009009009,176150,14580,4643,0,14
"January 15, 2020","March 2, 2022",Grey Bruce,20 to 39,2136,1,21,0.3381887270424319,0.02,0.0945945945945946,176150,35627,5995,3,59
"January 15, 2020","March 2, 2022",Grey Bruce,40 to 59,1645,8,51,0.2604496516782774,0.16,0.22972972972972974,176150,47149,3489,17,108
"January 15, 2020","March 2, 2022",Grey Bruce,5 to 11,381,0,1,0.06032298923369221,0,0.0045045045045045045,176150,12531,3040,0,8
"January 15, 2020","March 2, 2022",Grey Bruce,60 to 79,943,24,101,0.1493033565547815,0.48,0.45495495495495497,176150,46632,2022,51,217
"January 15, 2020","March 2, 2022",Grey Bruce,80+,324,17,39,0.0512982900569981,0.34,0.17567567567567569,176150,10603,3056,160,368
"January 15, 2020","March 2, 2022",Haldimand-Norfolk,0 to 4,185,0,5,0.02621510556893864,0,0.02252252252252252,120008,6162,3002,0,81
"January 15, 2020","March 2, 2022",Haldimand-Norfolk,12 to 19,600,0,2,0.08502196400736857,0,0.009009009009009009,120008,11136,5388,0,18
"January 15, 2020","March 2, 2022",Haldimand-Norfolk,20 to 39,2464,2,16,0.3491568655235936,0.023529411764705882,0.07207207207207207,120008,25134,9803,8,64
"January 15, 2020","March 2, 2022",Haldimand-Norfolk,40 to 59,1968,6,61,0.2788720419441689,0.07058823529411765,0.2747747747747748,120008,33939,5799,18,180
"January 15, 2020","March 2, 2022",Haldimand-Norfolk,5 to 11,444,0,0,0.06291625336545274,0,0,120008,8958,4956,0,0
"January 15, 2020","March 2, 2022",Haldimand-Norfolk,60 to 79,1027,28,93,0.14552926172594588,0.32941176470588235,0.4189189189189189,120008,28784,3568,97,323
"January 15, 2020","March 2, 2022",Haldimand-Norfolk,80+,369,49,45,0.05228850786453167,0.5764705882352941,0.20270270270270271,120008,5894,6261,831,763
"January 15, 2020","March 2, 2022","Haliburton, Kawartha, Pine Ridge District",0 to 4,167,0,4,0.023445177593710516,0,0.021052631578947368,190728,7381,2263,0,54
"January 15, 2020","March 2, 2022","Haliburton, Kawartha, Pine Ridge District",12 to 19,552,0,1,0.07749543731573776,0,0.005263157894736842,190728,15028,3673,0,7
"January 15, 2020","March 2, 2022","Haliburton, Kawartha, Pine Ridge District",20 to 39,2572,0,14,0.36108381300014036,0,0.07368421052631578,190728,34906,7368,0,40
"January 15, 2020","March 2, 2022","Haliburton, Kawartha, Pine Ridge District",40 to 59,1982,5,36,0.27825354485469606,0.05263157894736842,0.18947368421052632,190728,53848,3681,9,67
"January 15, 2020","March 2, 2022","Haliburton, Kawartha, Pine Ridge District",5 to 11,337,0,0,0.04731152604239787,0,0,190728,11763,2865,0,0
"January 15, 2020","March 2, 2022","Haliburton, Kawartha, Pine Ridge District",60 to 79,1066,30,93,0.14965604380176892,0.3157894736842105,0.48947368421052634,190728,55435,1923,54,168
"January 15, 2020","March 2, 2022","Haliburton, Kawartha, Pine Ridge District",80+,447,60,42,0.0627544573915485,0.631578947368421,0.22105263157894736,190728,12376,3612,485,339
"January 15, 2020","March 2, 2022",Halton Region,0 to 4,1209,0,26,0.028489961353567725,0,0.023008849557522124,610575,34067,3549,0,76
"January 15, 2020","March 2, 2022",Halton Region,12 to 19,4501,0,11,0.1060656046752757,0,0.009734513274336283,610575,66384,6780,0,17
"January 15, 2020","March 2, 2022",Halton Region,20 to 39,13845,2,86,0.3262560090489207,0.0058997050147492625,0.07610619469026549,610575,140779,9835,1,61
"January 15, 2020","March 2, 2022",Halton Region,40 to 59,13323,17,255,0.3139551324347252,0.05014749262536873,0.22566371681415928,610575,186831,7131,9,136
"January 15, 2020","March 2, 2022",Halton Region,5 to 11,3293,0,10,0.07759920821943633,0,0.008849557522123894,610575,59488,5536,0,17
"January 15, 2020","March 2, 2022",Halton Region,60 to 79,4313,80,377,0.10163540390234706,0.2359882005899705,0.33362831858407077,610575,98495,4379,81,383
