from_date,to_date,public_health_unit,age_group,total_cases,total_deaths,total_hospitalizations_count,percent_cases,percent_deaths,percent_hospitalizations
"January 15, 2020","March 2, 2022",Halton Region,20 to 39,13845,2,86,0.3262560090489207,0.0058997050147492625,0.07610619469026549
"January 15, 2020","March 2, 2022",Halton Region,40 to 59,13323,17,255,0.3139551324347252,0.05014749262536873,0.22566371681415928
"January 15, 2020","March 2, 2022",Halton Region,5 to 11,3293,0,10,0.07759920821943633,0,0.008849557522123894
"January 15, 2020","March 2, 2022",Halton Region,60 to 79,4313,80,377,0.10163540390234706,0.2359882005899705,0.33362831858407077
"January 15, 2020","March 2, 2022",Halton Region,80+,1952,240,365,0.04599868036572721,0.7079646017699115,0.3230088495575221
"January 15, 2020","March 2, 2022",City of Hamilton,0 to 4,1322,0,21,0.027244250267908665,0,0.009325044404973356
"January 15, 2020","March 2, 2022",City of Hamilton,12 to 19,4340,0,18,0.0894402769763416,0,0.007992895204262877
"January 15, 2020","March 2, 2022",City of Hamilton,20 to 39,18799,5,191,0.38741653614706123,0.009560229445506692,0.08481349911190053
"January 15, 2020","March 2, 2022",City of Hamilton,40 to 59,13313,23,481,0.2743590800428654,0.04397705544933078,0.2135879218472469
"January 15, 2020","March 2, 2022",City of Hamilton,5 to 11,2702,0,8,0.055683785343335256,0,0.003552397868561279
"January 15, 2020","March 2, 2022",City of Hamilton,60 to 79,5867,184,908,0.12090924078806364,0.35181644359464626,0.40319715808170514
"January 15, 2020","March 2, 2022",City of Hamilton,80+,2181,311,625,0.044946830434424205,0.5946462715105163,0.2775310834813499
"January 15, 2020","March 2, 2022",Hastings Prince Edward,0 to 4,250,0,6,0.03583715596330275,0,0.024896265560165973
"January 15, 2020","March 2, 2022",Hastings Prince Edward,12 to 19,646,0,4,0.09260321100917432,0,0.016597510373443983
"January 15, 2020","March 2, 2022",Hastings Prince Edward,20 to 39,2606,1,24,0.3735665137614679,0.022222222222222223,0.0995850622406639
"January 15, 2020","March 2, 2022",Hastings Prince Edward,40 to 59,1776,2,38,0.2545871559633027,0.044444444444444446,0.15767634854771784
"January 15, 2020","March 2, 2022",Hastings Prince Edward,5 to 11,479,0,0,0.06866399082568807,0,0
"January 15, 2020","March 2, 2022",Hastings Prince Edward,60 to 79,924,21,111,0.13245412844036697,0.4666666666666667,0.4605809128630705
"January 15, 2020","March 2, 2022",Hastings Prince Edward,80+,295,21,58,0.04228784403669725,0.4666666666666667,0.24066390041493776
"January 15, 2020","March 2, 2022",Chatham-Kent,0 to 4,204,0,5,0.029479768786127167,0,0.017985611510791366
"January 15, 2020","March 2, 2022",Chatham-Kent,12 to 19,674,0,3,0.097398843930635845,0,0.01079136690647482
"January 15, 2020","March 2, 2022",Chatham-Kent,20 to 39,2374,1,33,0.3430635838150289,0.013888888888888888,0.11870503597122302
"January 15, 2020","March 2, 2022",Chatham-Kent,40 to 59,1965,10,64,0.28395953757225434,0.1388888888888889,0.2302158273381295
"January 15, 2020","March 2, 2022",Chatham-Kent,5 to 11,459,0,0,0.06632947976878613,0,0
"January 15, 2020","March 2, 2022",Chatham-Kent,60 to 79,932,30,114,0.13468208092485548,0.4166666666666667,0.41007194244604317
"January 15, 2020","March 2, 2022",Chatham-Kent,80+,312,31,59,0.04508670520231214,0.4305555555555556,0.21223021582733814
"January 15, 2020","March 2, 2022","Kingston, Frontenac and Lennox & Addington",0 to 4,398,0,4,0.0381957773512476,0,0.02185792349726776
"January 15, 2020","March 2, 2022","Kingston, Frontenac and Lennox & Addington",12 to 19,1245,0,2,0.11948176583493282,0,0.01092896174863388
"January 15, 2020","March 2, 2022","Kingston, Frontenac and Lennox & Addington",20 to 39,4791,1,8,0.45978886756238,0.03125,0.04371584699453552
"January 15, 2020","March 2, 2022","Kingston, Frontenac and Lennox & Addington",40 to 59,2147,2,40,0.2060460652591171,0.0625,0.2185792349726776
"January 15, 2020","March 2, 2022","Kingston, Frontenac and Lennox & Addington",5 to 11,752,0,2,0.07216890595009597,0,0.01092896174863388
"January 15, 2020","March 2, 2022","Kingston, Frontenac and Lennox & Addington",60 to 79,921,17,77,0.08838771593090211,0.53125,0.4207650273224044
"January 15, 2020","March 2, 2022","Kingston, Frontenac and Lennox & Addington",80+,166,12,50,0.015930902111324377,0.375,0.273224043715847
"January 15, 2020","March 2, 2022",Lambton,0 to 4,305,0,7,0.03124359762343782,0,0.020588235294117647
"January 15, 2020","March 2, 2022",Lambton,12 to 19,851,1,5,0.08717475927064126,0.007874015748031496,0.014705882352941176
"January 15, 2020","March 2, 2022",Lambton,20 to 39,3333,2,20,0.3414259373079287,0.015748031496062992,0.058823529411764705
"January 15, 2020","March 2, 2022",Lambton,40 to 59,2673,7,71,0.27381684081130914,0.05511811023622047,0.2088235294117647
"January 15, 2020","March 2, 2022",Lambton,5 to 11,572,0,0,0.05859455029707027,0,0
"January 15, 2020","March 2, 2022",Lambton,60 to 79,1532,54,141,0.15693505429215324,0.4251968503937008,0.4147058823529412
"January 15, 2020","March 2, 2022",Lambton,80+,496,63,96,0.05080926039745954,0.49606299212598426,0.2823529411764706
"January 15, 2020","March 2, 2022","Leeds, Grenville & Lanark District",0 to 4,203,0,1,0.0299013109441744,0,0.004347826086956522
"January 15, 2020","March 2, 2022","Leeds, Grenville & Lanark District",12 to 19,581,0,1,0.0855796140816026,0,0.004347826086956522
"January 15, 2020","March 2, 2022","Leeds, Grenville & Lanark District",20 to 39,2257,0,17,0.33244955074385035,0,0.07391304347826087
"January 15, 2020","March 2, 2022","Leeds, Grenville & Lanark District",40 to 59,1820,4,45,0.26808071880983947,0.04819277108433735,0.1956521739130435
"January 15, 2020","March 2, 2022","Leeds, Grenville & Lanark District",5 to 11,442,0,2,0.06510531742524672,0,0.008695652173913044
"January 15, 2020","March 2, 2022","Leeds, Grenville & Lanark District",60 to 79,1079,27,109,0.15893356900869052,0.3253012048192771,0.47391304347826085
"January 15, 2020","March 2, 2022","Leeds, Grenville & Lanark District",80+,407,52,55,0.05994991898659596,0.6265060240963856,0.2391304347826087
"January 15, 2020","March 2, 2022",Middlesex-London,0 to 4,983,0,37,0.030824709940420195,0,0.02598314606741573
"January 15, 2020","March 2, 2022",Middlesex-London,12 to 19,3372,2,23,0.1057384760112888,0.005714285714285714,0.016151685393258428
"January 15, 2020","March 2, 2022",Middlesex-London,20 to 39,12840,4,179,0.4026340545625588,0.011428571428571429,0.12570224719101122
"January 15, 2020","March 2, 2022",Middlesex-London,40 to 59,7952,27,288,0.249357165255566,0.07714285714285714,0.20224719101123595
"January 15, 2020","March 2, 2022",Middlesex-London,5 to 11,1918,0,8,0.06014424584509251,0,0.0056179775280898875
"January 15, 2020","March 2, 2022",Middlesex-London,60 to 79,3425,122,526,0.10740043900909375,0.3485714285714286,0.3693820224719101
"January 15, 2020","March 2, 2022",Middlesex-London,80+,1400,195,363,0.04390090937597993,0.5571428571428572,0.25491573033707865
"January 15, 2020","March 2, 2022",Niagara Region,0 to 4,789,0,36,0.023036496350364963,0,0.024844720496894408
"January 15, 2020","March 2, 2022",Niagara Region,12 to 19,2825,0,20,0.08248175182481751,0,0.013802622498274672
"January 15, 2020","March 2, 2022",Niagara Region,20 to 39,12210,6,168,0.3564963503649635,0.011450381679389313,0.11594202898550725
"January 15, 2020","March 2, 2022",Niagara Region,40 to 59,9405,19,276,0.2745985401459854,0.03625954198473282,0.19047619047619047
"January 15, 2020","March 2, 2022",Niagara Region,5 to 11,1678,0,10,0.04899270072992701,0,0.006901311249137336
"January 15, 2020","March 2, 2022",Niagara Region,60 to 79,5018,149,523,0.1465109489051095,0.28435114503816794,0.3609385783298827
"January 15, 2020","March 2, 2022",Niagara Region,80+,2325,350,416,0.06788321167883211,0.6679389312977099,0.28709454796411316
"January 15, 2020","March 2, 2022",North Bay Parry Sound District,0 to 4,139,0,2,0.03580628541988665,0,0.01680672268907563
"January 15, 2020","March 2, 2022",North Bay Parry Sound District,12 to 19,358,0,0,0.09222050489438434,0,0
"January 15, 2020","March 2, 2022",North Bay Parry Sound District,20 to 39,1428,0,5,0.3678516228748068,0,0.04201680672268908
"January 15, 2020","March 2, 2022",North Bay Parry Sound District,40 to 59,1054,2,34,0.2715095311695003,0.08695652173913043,0.2857142857142857
"January 15, 2020","March 2, 2022",North Bay Parry Sound District,5 to 11,223,0,2,0.057444616177228236,0,0.01680672268907563
"January 15, 2020","March 2, 2022",North Bay Parry Sound District,60 to 79,509,9,52,0.13111798042246264,0.391304347826087,0.4369747899159664
"January 15, 2020","March 2, 2022",North Bay Parry Sound District,80+,171,12,24,0.04404945904173107,0.5217391304347826,0.20168067226890757
"January 15, 2020","March 2, 2022",Northwestern,0 to 4,310,0,3,0.06253782529755901,0,0.025423728813559324
"January 15, 2020","March 2, 2022",Northwestern,12 to 19,548,0,2,0.11055073633245915,0,0.01694915254237288
"January 15, 2020","March 2, 2022",Northwestern,20 to 39,1764,1,22,0.35586039943514225,0.05263157894736842,0.1864406779661017
"January 15, 2020","March 2, 2022",Northwestern,40 to 59,1210,6,45,0.24409925358079484,0.3157894736842105,0.3813559322033898
"January 15, 2020","March 2, 2022",Northwestern,5 to 11,464,0,0,0.0936050030260238,0,0
"January 15, 2020","March 2, 2022",Northwestern,60 to 79,529,6,34,0.10671777284647972,0.3157894736842105,0.288135593220339
"January 15, 2020","March 2, 2022",Northwestern,80+,132,6,12,0.026629009481541253,0.3157894736842105,0.1016949152542373
"January 15, 2020","March 2, 2022",Ottawa,0 to 4,2198,0,19,0.03490440195642508,0,0.008566275924256087
"January 15, 2020","March 2, 2022",Ottawa,12 to 19,6160,0,21,0.09782125389061805,0,0.009467989179440937
"January 15, 2020","March 2, 2022",Ottawa,20 to 39,24344,3,214,0.3865845137521438,0.003952569169960474,0.09648331830477908
"January 15, 2020","March 2, 2022",Ottawa,40 to 59,16122,47,544,0.2560185479260624,0.061923583662714096,0.24526600541027954
"January 15, 2020","March 2, 2022",Ottawa,5 to 11,4802,0,5,0.07625611382836817,0,0.002254283137962128
"January 15, 2020","March 2, 2022",Ottawa,60 to 79,6290,240,857,0.0998856634694785,0.31620553359683795,0.3863841298467087
"January 15, 2020","March 2, 2022",Ottawa,80+,3056,469,558,0.04852950517690402,0.6179183135704874,0.2515779981965735
"January 15, 2020","March 2, 2022",Peel,0 to 4,4573,1,82,0.026549083583458637,8.312551953449709e-4,0.01759656652360515
"January 15, 2020","March 2, 2022",Peel,12 to 19,14231,1,39,0.0826197263232451,8.312551953449709e-4,0.008369098712446352
"January 15, 2020","March 2, 2022",Peel,20 to 39,71400,19,500,0.4145210076227743,0.015793848711554447,0.1072961373390558
"January 15, 2020","March 2, 2022",Peel,40 to 59,48200,117,1128,0.27983070822713896,0.09725685785536159,0.24206008583690988
"January 15, 2020","March 2, 2022",Peel,5 to 11,9306,1,24,0.054027065783438896,8.312551953449709e-4,0.005150214592274678
"January 15, 2020","March 2, 2022",Peel,60 to 79,20038,416,1749,0.11633294048662676,0.3458021612635079,0.3753218884120172
"January 15, 2020","March 2, 2022",Peel,80+,4499,648,1138,0.02611946797331739,0.5386533665835411,0.244206008583691
"January 15, 2020","March 2, 2022",Huron Perth,0 to 4,202,0,6,0.035296173335663115,0,0.03225806451612903
"January 15, 2020","March 2, 2022",Huron Perth,12 to 19,519,0,1,0.09068670277826314,0,0.005376344086021506
"January 15, 2020","March 2, 2022",Huron Perth,20 to 39,1979,2,14,0.34579765857067973,0.02040816326530612,0.07526881720430108
"January 15, 2020","March 2, 2022",Huron Perth,40 to 59,1451,8,39,0.2535383540101345,0.08163265306122448,0.20967741935483872
"January 15, 2020","March 2, 2022",Huron Perth,5 to 11,372,0,0,0.06500087366765682,0,0
"January 15, 2020","March 2, 2022",Huron Perth,60 to 79,818,37,77,0.14293202865629914,0.37755102040816324,0.41397849462365593
"January 15, 2020","March 2, 2022",Huron Perth,80+,382,51,49,0.06674820898130351,0.5204081632653061,0.26344086021505375
"January 15, 2020","March 2, 2022",Peterborough,0 to 4,209,0,6,0.03706330909735769,0,0.027906976744186046
"January 15, 2020","March 2, 2022",Peterborough,12 to 19,567,0,2,0.1005497428622096,0,0.009302325581395349
"January 15, 2020","March 2, 2022",Peterborough,20 to 39,2274,1,23,0.4032629898918248,0.01694915254237288,0.10697674418604651
"January 15, 2020","March 2, 2022",Peterborough,40 to 59,1251,5,55,0.22184784536265295,0.0847457627118644,0.2558139534883721
"January 15, 2020","March 2, 2022",Peterborough,5 to 11,338,0,0,0.05993970562156411,0,0
"January 15, 2020","March 2, 2022",Peterborough,60 to 79,655,23,73,0.116155346692676,0.3898305084745763,0.3395348837209302
"January 15, 2020","March 2, 2022",Peterborough,80+,345,30,56,0.06118106047171484,0.5084745762711864,0.26046511627906976
"January 15, 2020","March 2, 2022",Porcupine,0 to 4,358,0,3,0.06430752649541943,0,0.01675977653631285
"January 15, 2020","March 2, 2022",Porcupine,12 to 19,611,0,7,0.10975390695167954,0,0.03910614525139665
"January 15, 2020","March 2, 2022",Porcupine,20 to 39,2072,0,37,0.3721932818394108,0,0.20670391061452514
"January 15, 2020","March 2, 2022",Porcupine,40 to 59,1278,5,58,0.22956709179091073,0.10638297872340426,0.3240223463687151
"January 15, 2020","March 2, 2022",Porcupine,5 to 11,552,0,0,0.09915573917729477,0,0
"January 15, 2020","March 2, 2022",Porcupine,60 to 79,537,22,61,0.09646128974312915,0.46808510638297873,0.3407821229050279
"January 15, 2020","March 2, 2022",Porcupine,80+,159,20,13,0.02856116400215556,0.425531914893617,0.07262569832402235
"January 15, 2020","March 2, 2022",Renfrew County and District,0 to 4,109,0,1,0.03230586840545347,0,0.006024096385542169
"January 15, 2020","March 2, 2022",Renfrew County and District,12 to 19,328,0,0,0.0972139893301719,0,0
"January 15, 2020","March 2, 2022",Renfrew County and District,20 to 39,1062,1,13,0.3147599288678127,0.030303030303030304,0.0783132530120482
"January 15, 2020","March 2, 2022",Renfrew County and District,40 to 59,915,4,36,0.2711914641375222,0.12121212121212122,0.21686746987951808
"January 15, 2020","March 2, 2022",Renfrew County and District,5 to 11,211,0,0,0.06253704801422644,0,0
"January 15, 2020","March 2, 2022",Renfrew County and District,60 to 79,531,12,69,0.15737996443390634,0.36363636363636365,0.41566265060240964
"January 15, 2020","March 2, 2022",Renfrew County and District,80+,218,16,47,0.06461173681090694,0.48484848484848486,0.28313253012048195
"January 15, 2020","March 2, 2022",Eastern Ontario,0 to 4,444,0,12,0.032489389726328116,0,0.015345268542199489
"January 15, 2020","March 2, 2022",Eastern Ontario,12 to 19,1164,0,5,0.08517488657983316,0,0.00639386189258312
"January 15, 2020","March 2, 2022",Eastern Ontario,20 to 39,4143,0,70,0.3031611298112103,0,0.08951406649616368
"January 15, 2020","March 2, 2022",Eastern Ontario,40 to 59,3733,12,131,0.27315966632518657,0.05660377358490566,0.16751918158567775
"January 15, 2020","March 2, 2022",Eastern Ontario,5 to 11,868,0,2,0.06351529342894775,0,0.0025575447570332483
"January 15, 2020","March 2, 2022",Eastern Ontario,60 to 79,2239,72,345,0.16383726035416363,0.33962264150943394,0.4411764705882353
"January 15, 2020","March 2, 2022",Eastern Ontario,80+,1075,128,217,0.07866237377433045,0.6037735849056604,0.2774936061381074
"January 15, 2020","March 2, 2022",Simcoe Muskoka District,0 to 4,1142,1,22,0.0319324441461846,0.0024390243902439024,0.018596787827557058
"January 15, 2020","March 2, 2022",Simcoe Muskoka District,12 to 19,3219,0,10,0.09000922741380757,0,0.0084530853761623
"January 15, 2020","March 2, 2022",Simcoe Muskoka District,20 to 39,13421,4,115,0.3752761233677264,0.00975609756097561,0.09721048182586645
"January 15, 2020","March 2, 2022",Simcoe Muskoka District,40 to 59,9848,31,252,0.2753683975058021,0.07560975609756097,0.21301775147928995
"January 15, 2020","March 2, 2022",Simcoe Muskoka District,5 to 11,2432,0,0,0.06800324357576266,0,0
"January 15, 2020","March 2, 2022",Simcoe Muskoka District,60 to 79,4292,151,543,0.12001230321841008,0.36829268292682926,0.45900253592561285
"January 15, 2020","March 2, 2022",Simcoe Muskoka District,80+,1409,223,241,0.03939826077230658,0.5439024390243903,0.2037193575655114
"January 15, 2020","March 2, 2022",Sudbury & Districts,0 to 4,359,0,3,0.031778348234044435,0,0.00641025641025641
"January 15, 2020","March 2, 2022",Sudbury & Districts,12 to 19,974,0,11,0.08621757988846597,0,0.023504273504273504
"January 15, 2020","March 2, 2022",Sudbury & Districts,20 to 39,4117,4,75,0.36443303531911125,0.037037037037037035,0.16025641025641027
"January 15, 2020","March 2, 2022",Sudbury & Districts,40 to 59,2843,8,95,0.2516597326723909,0.07407407407407407,0.202991452991453
"January 15, 2020","March 2, 2022",Sudbury & Districts,5 to 11,913,0,2,0.08081791626095423,0,0.004273504273504274
"January 15, 2020","March 2, 2022",Sudbury & Districts,60 to 79,1425,34,182,0.12613968310170842,0.3148148148148148,0.3888888888888889
"January 15, 2020","March 2, 2022",Sudbury & Districts,80+,666,62,100,0.058953704523324775,0.5740740740740741,0.21367521367521367
"January 15, 2020","March 2, 2022",Thunder Bay District,0 to 4,382,0,11,0.04326160815402039,0,0.02972972972972973
"January 15, 2020","March 2, 2022",Thunder Bay District,12 to 19,724,0,7,0.08199320498301246,0,0.01891891891891892
"January 15, 2020","March 2, 2022",Thunder Bay District,20 to 39,3519,1,59,0.39852774631936577,0.012658227848101266,0.15945945945945947
"January 15, 2020","March 2, 2022",Thunder Bay District,40 to 59,2265,8,96,0.2565118912797282,0.10126582278481013,0.2594594594594595
"January 15, 2020","March 2, 2022",Thunder Bay District,5 to 11,539,0,4,0.06104190260475651,0,0.010810810810810811
"January 15, 2020","March 2, 2022",Thunder Bay District,60 to 79,1052,32,134,0.11913929784824462,0.4050632911392405,0.3621621621621622
"January 15, 2020","March 2, 2022",Thunder Bay District,80+,349,38,59,0.03952434881087203,0.4810126582278481,0.15945945945945947
"January 15, 2020","March 2, 2022",Timiskaming,0 to 4,53,0,1,0.045808124459809856,0,0.019230769230769232
